rank_hybrid,material_id,formula,space_group_number,crystal_system,gnn_probability,hybrid_probability,hybrid_probability_std,explicit_only_probability,embedding_only_probability,formation_energy_per_atom,energy_above_hull,band_gap,n_magnetic_sites,magnetic_elements,dft_priority_score,dft_selected,rationale
70,mp-761054,Cr16 O4 F44,5,monoclinic,0.9999998807907104,0.9875078513616001,0.0,0.9875078513616001,0.9875078513616001,-2.8779989331249993,0.038467236208336,0.1927,16,Cr,0.9490406151532641,False,hybrid=0.988; hull=0.038467236208336; magnetic=Cr
71,mp-1218265,Sr1 La3 Cr4 O12,3,monoclinic,0.0008984848973341,0.9791849991582692,0.0,0.9791849991582692,0.9791849991582692,-3.027501246750001,0.031041453359383,0.0,4,Cr,0.9481435457988862,False,hybrid=0.979; hull=0.031041453359383; magnetic=Cr
72,mp-1272187,Ca4 Mn2 Ga2 O10,1,triclinic,0.9999955892562866,0.9617046977381413,0.0,0.9617046977381413,0.9617046977381413,-2.705393252270114,0.014855785231479,0.7963,2,Mn,0.9468489125066623,False,hybrid=0.962; hull=0.014855785231479; magnetic=Mn
73,mp-33009,Mn2 O4,58,orthorhombic,0.9832255244255066,0.9928835585807053,0.0,0.9928835585807053,0.9928835585807053,-1.776003834310345,0.046524089722222,0.0,2,Mn,0.9463594688584833,False,hybrid=0.993; hull=0.046524089722222; magnetic=Mn
74,mp-1306506,Ca8 Fe4 Ir4 O24,14,monoclinic,0.9996103644371032,0.9451367648550049,0.0,0.9451367648550049,0.9451367648550049,-2.24188327125,0.0,0.0,4,Fe,0.9451367648550049,False,hybrid=0.945; hull=0.0; magnetic=Fe
75,mp-765633,Mn6 F18,150,trigonal,0.99993896484375,0.9951314188063364,0.0,0.9951314188063364,0.9951314188063364,-2.713573319482759,0.051257738749998,0.2629,6,Mn,0.9438736800563384,False,hybrid=0.995; hull=0.051257738749998; magnetic=Mn
76,mp-1222225,Mn14 Si6 O28,4,monoclinic,0.9999947547912598,0.9975382183220004,0.0,0.9975382183220004,0.9975382183220004,-2.469183668146552,0.054102264398169,0.032599999999999,14,Mn,0.9434359539238314,False,hybrid=0.998; hull=0.054102264398169; magnetic=Mn
77,mp-759366,Cr8 O2 F22,1,triclinic,0.9999997615814208,0.9793987337493387,0.0,0.9793987337493387,0.9793987337493387,-2.8804325671875,0.036033602145836,0.712,8,Cr,0.9433651316035028,False,hybrid=0.979; hull=0.036033602145836; magnetic=Cr
78,mp-752839,Mn12 O4 F20,12,monoclinic,0.8472471237182617,0.9907485834648782,0.0,0.9907485834648782,0.9907485834648782,-2.728336787643679,0.047890463703697,0.0,12,Mn,0.9428581197611812,False,hybrid=0.991; hull=0.047890463703697; magnetic=Mn
79,mp-1201385,Ba6 Fe52 O82,194,hexagonal,0.9977266192436218,0.992810770130224,0.0,0.992810770130224,0.992810770130224,-1.758626668285714,0.050176802928579,0.4319,52,Fe,0.942633967201645,False,hybrid=0.993; hull=0.050176802928579; magnetic=Fe
