material_id,formula,rank_hybrid,rank_gnn,rank_shift_hybrid_minus_gnn,gnn_probability,hybrid_probability,probability_delta,space_group_number,crystal_system,magnetic_elements,dft_selected
mp-1207404,mp-1207404,5826,20805,-14979,1.8418217918877982e-24,0.000151204715485,0.000151204715485,193,hexagonal,,False
mp-763793,mp-763793,23063,38041,-14978,5.100726410142334e-43,0.000151204715485,0.000151204715485,186,hexagonal,,False
mp-1402005,mp-1402005,21293,36269,-14976,6.77855711341701e-39,0.000151204715485,0.000151204715485,227,cubic,,False
mp-646420,mp-646420,14925,29900,-14975,8.404093417701072e-31,0.000151204715485,0.000151204715485,127,tetragonal,,False
mp-778405,mp-778405,25550,40523,-14973,0.0,0.000151204715485,0.000151204715485,15,monoclinic,,False
mp-636654,mp-636654,19468,34438,-14970,7.009045778896166e-36,0.000151204715485,0.000151204715485,55,orthorhombic,,False
mp-1207972,mp-1207972,13271,28241,-14970,1.9335092310347842e-29,0.000151204715485,0.000151204715485,14,monoclinic,,False
mp-581602,mp-581602,12740,27709,-14969,5.224479187935869e-29,0.000151204715485,0.000151204715485,160,trigonal,,False
mp-581258,mp-581258,12742,27708,-14966,5.227508916479632e-29,0.000151204715485,0.000151204715485,160,trigonal,,False
mp-17759,mp-17759,13677,28642,-14965,9.354620155030221e-30,0.000151204715485,0.000151204715485,12,monoclinic,,False
mp-4840,mp-4840,1633,16597,-14964,3.822543277404344e-22,0.000151204715485,0.000151204715485,122,tetragonal,,False
mp-6272,mp-6272,7078,22040,-14962,3.153161840715695e-25,0.000151204715485,0.000151204715485,14,monoclinic,,False
mp-1278428,mp-1278428,22192,37154,-14962,8.843454478507485e-41,0.000151204715485,0.000151204715485,10,monoclinic,,False
mp-559180,mp-559180,10491,25452,-14961,1.9238291400038983e-27,0.000151204715485,0.000151204715485,62,orthorhombic,,False
mp-758820,mp-758820,19248,34208,-14960,1.435268988325509e-35,0.000151204715485,0.000151204715485,5,monoclinic,,False
mp-1173577,mp-1173577,25569,40524,-14955,0.0,0.000151204715485,0.000151204715485,1,triclinic,,False
mp-768444,mp-768444,16501,31452,-14951,2.5377001100989593e-32,0.000151204715485,0.000151204715485,15,monoclinic,,False
mp-14353,mp-14353,1520,16470,-14950,4.4092972614012665e-22,0.000151204715485,0.000151204715485,19,orthorhombic,,False
mp-755803,mp-755803,17332,32282,-14950,3.506017328477062e-33,0.000151204715485,0.000151204715485,20,orthorhombic,,False
mp-1211744,mp-1211744,1287,16236,-14949,5.9517649410978355e-22,0.000151204715485,0.000151204715485,14,monoclinic,,False
mp-5572,mp-5572,1352,16300,-14948,5.56363477343853e-22,0.000151204715485,0.000151204715485,2,triclinic,,False
mp-13407,mp-13407,6271,21219,-14948,1.0017440923953119e-24,0.000151204715485,0.000151204715485,186,hexagonal,,False
mp-1193567,mp-1193567,5936,20880,-14944,1.663331756889776e-24,0.000151204715485,0.000151204715485,2,triclinic,,False
mp-2216300,mp-2216300,23149,38093,-14944,3.7274539151040134e-43,0.000151204715485,0.000151204715485,1,triclinic,,False
mp-2232581,mp-2232581,20500,35444,-14944,2.2798558768946415e-37,0.000151204715485,0.000151204715485,2,triclinic,,False
mp-1209154,mp-1209154,14850,29791,-14941,1.0621986066177185e-30,0.000151204715485,0.000151204715485,140,tetragonal,,False
mp-849889,mp-849889,25584,40525,-14941,0.0,0.000151204715485,0.000151204715485,2,triclinic,,False
mp-1223661,mp-1223661,11907,26846,-14939,2.0783217993905494e-28,0.000151204715485,0.000151204715485,9,monoclinic,,False
mp-1219901,mp-1219901,19558,34496,-14938,6.039410019754594e-36,0.000151204715485,0.000151204715485,123,tetragonal,,False
mp-758545,mp-758545,23338,38272,-14934,1.233142648605839e-43,0.000151204715485,0.000151204715485,1,triclinic,,False
mp-754894,mp-754894,25592,40526,-14934,0.0,0.000151204715485,0.000151204715485,166,trigonal,,False
mp-1200568,mp-1200568,12989,27922,-14933,3.4626147016126746e-29,0.000151204715485,0.000151204715485,160,trigonal,,False
